clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
215;1712040738;0.07985461;3246485486;1080806847;2744671168;906683000.7;0
216;201700221;0.02859909;3197701054;1263285881;20138732863;246697331;0
217;2692171974;0.00175696;2775.49;2206956626;28092619817;2655581650;0
218;0.17996741;0.02307485;1691752098;2166534716;26734558313;566716984.6;0
219;1875418425;0.04777509;4334937377;952470621.5;9225590440;648992516.8;0
220;1840122855;0.02973329;3630824393;1349733565;19308572442;639483911.8;0
221;0.02900964;0.00860956;9790215583;4426323716;49750671381;247295416.3;0
222;3208109104;0.03150064;2047084868;1875474501;23495101466;687440494.6;0
223;2623845262;0.12341384;3020639152;547166191.4;2573623310;1595284706;0
224;0.2342282;0.01574704;293586516;1018669911;17637817389;443764267.7;0
225;2940938772;0.0051222;2899499926;1183812800;20456077939;1182813367;0
226;0.34453209;0.05369569;1910760591;996654138.6;1711414277;991450022;0
227;0.22940629;0.03737576;2123019967;1044488425;12473158615;116157508.6;0
228;2307662615;0.00380881;0.0020594;887712301.5;12862336117;719726976.8;0
229;2624160973;0.10173869;9836207271;427980920.5;1630813734;750763280;0
230;0.23128161;0.05042016;2506530011;2380701724;21853208449;1199263361;0
231;2977877427;0.00375204;9164818031;1177862831;21904133257;3020103636;0
232;1822194625;0.11112449;413411897;1367508542;6623977308;2181644582;0
233;2013671609;0.07629329;1810158283;2287721747;1405027871;926277600.4;0
234;3329837829;0.01220416;0.0052908;1449873804;21115844584;3372231765;0
235;0.30871716;0.09549281;9036292229;3434758498;16780010004;3620332121;0
236;1024259384;0.05737505;1917042816;1129631884;3789902635;850902646.4;0
237;303945852;0.00658384;988813206;1643777110;21861299337;4107555561;0
238;0.19239689;0.05516209;2262227113;2763252452;27291991958;1816860117;0
239;3308158943;9316855209;1811644037;1150311895;1767728004;1057050657;0
240;297581525;0.01765704;219079496;1238604917;18336911440;2466051957;0
241;0.06239644;0.01160756;1039922043;4673473593;54610908097;784466353.7;0
242;2997847138;0.02323176;3109013512;844661203.2;11788463062;573361557.8;0
243;2843367034;0.05776089;2819214365;1955335170;14206712951;805283816.4;0
244;0.03745276;0.00659004;0.20655841;3492722024;37625440763;185472320.5;0
